Movie	Released on	URL	Word	Count
Pardesi Babu (1998)	1998	https://www.lyricsbogie.com/movies/pardesi-babu-1998/hai-nazuk-nazuk-halki-phulki.html	gori	2
Chandi Pooja (1957)	1957	https://www.lyricsbogie.com/movies/chandi-pooja-1957/ae-ji-o-ji-kaho-badi-aaj-ki.html	gori	4
Bombay Ka Chor (1962)	1962	https://www.lyricsbogie.com/movies/bombay-ka-chor-1962/nadan-hai-anjaan-hai.html	gori	10
Mr. John (1959)	1959	https://www.lyricsbogie.com/movies/mr-john-1959/tip-tip-toe-mere-dil-hai-do.html	gora	4
Bhool Na Jaana (1960)	1960	https://www.lyricsbogie.com/movies/bhool-na-jaana-1960/gora-gora-mukhada.html	gora	6
Bhool Na Jaana (1960)	1960	https://www.lyricsbogie.com/movies/bhool-na-jaana-1960/gora-gora-mukhada.html	gori	6
Peechha Karro (1986)	1986	https://www.lyricsbogie.com/movies/peechha-karro-1986/chham-se-aaye.html	gori	6
Peechha Karro (1986)	1986	https://www.lyricsbogie.com/movies/peechha-karro-1986/chham-se-aaye.html	gore	1
Khoon Ka Sindoor (1993)	1993	https://www.lyricsbogie.com/movies/khoon-ka-sindoor-1993/munna-main-chunna-tu.html	gori	2
Pyase Panchhi (1961)	1961	https://www.lyricsbogie.com/movies/pyase-panchhi-1961/babu-bol.html	gori	2
Pyase Panchhi (1961)	1961	https://www.lyricsbogie.com/movies/pyase-panchhi-1961/babu-bol.html	gore	3
Dark Street (1961)	1961	https://www.lyricsbogie.com/movies/dark-street-1961/mil-gaye-duniya-mein.html	gori	8
Patrani (1956)	1956	https://www.lyricsbogie.com/movies/patrani-1956/piya-ko-bulao-re.html	gori	8
Baraat (1960)	1960	https://www.lyricsbogie.com/movies/baraat-1960/chalo-ab-kehna-maan-jaao.html	goriye	4
Sawan (1959)	1959	https://www.lyricsbogie.com/movies/sawan-1959/haye-kuchh-ho-gaya-ji.html	goriye	2
Panghat (1943)	1943	https://www.lyricsbogie.com/movies/panghat-1943/panghat-par-pani-bharne.html	gori	5
Naya Bakra (1979)	1979	https://www.lyricsbogie.com/movies/naya-bakra-1979/chatur-sundari.html	gore	1
Insaniyat Ke Devta (1993)	1993	https://www.lyricsbogie.com/movies/insaniyat-ke-devta-1993/tan-bheeg-gaya.html	gori	3
Hamara Adhikar (1971)	1971	https://www.lyricsbogie.com/movies/hamara-adhikar-1971/jhalak-dikha-de-sanam.html	goriye	4
Gair (1999)	1999	https://www.lyricsbogie.com/movies/gair-1999/aankhon-mein-mohabbat-hai.html	gore	2
Betaab (1952)	1952	https://www.lyricsbogie.com/movies/betaab-1952/binti-karat-hu-mein.html	gori	1
Apmaan Ki Aag (1990)	1990	https://www.lyricsbogie.com/movies/apmaan-ki-aag-1990/aaj-pyar-ho-jane-de.html	gora	1
Teesri Aankh: The Hidden Camera (2006)	2006	https://www.lyricsbogie.com/movies/teesri-aankh-the-hidden-camera-2006/chug-de-punjabi.html	gore	1
Desh Premee (1982)	1982	https://www.lyricsbogie.com/movies/desh-premee-1982/gore-nahi-hum-kale-sahi.html	gore	4
Biwi Ho To Aisi (1988)	1988	https://www.lyricsbogie.com/movies/biwi-ho-to-aisi-1988/phool-gulaab-ka.html	gore	4
